Что такое логарифм?;Показатель степени, в которую нужно возвести основание, чтобы получить искомое число.
Что такое набор символов?;Таблица сопоставления символов с двоичными числами.
Что такое ASCII?;Американская стандартная кодировочная таблица символов для обмена информацией.
Что такое сортировка данных?;Упорядочение данных определённым образом.
Какие виды сортировки упоминаются в тексте?;Пузырьковая сортировка, сортировка вставками и сортировка слиянием. Также упоминаются быстрая сортировка, сортировка Шелла и пирамидальная сортировка.
Что следует использовать для сортировки в реальных задачах программирования?;Встроенную функцию сортировки в вашем языке программирования.
Почему в современных языках программирования, таких как Python, редко используют классические алгоритмы сортировки?;Потому что в них есть встроенные функции сортировки, работающие быстрее.
Какую пользу приносит изучение классических алгоритмов сортировки?;Помогает лучше разобраться с временной сложностью и знакомит с важными концепциями, полезными для решения других задач.
Что такое пузырьковая сортировка?;Алгоритм сортировки, при котором перебирают список, сравнивая каждое число с последующим, и переставляют их, если они не по порядку.
Почему этот алгоритм называется пузырьковой сортировкой?;Потому что наибольшие числа «всплывают» в конец списка, а наименьшие перемещаются в начало.
Что происходит с наибольшим числом за первую итерацию пузырьковой сортировки?;Оно перемещается в конец списка.
Что произойдет, если наименьшее число стоит в конце списка при пузырьковой сортировке?;Алгоритму потребуется много проходов, чтобы переместить его в начало.
Приведите пример списка для пузырьковой сортировки из текста.;[32, 1, 9, 6]
Какой код на Python выполняет пузырьковую сортировку?;"def bubble_sort(a_list):
    list_length = len(a_list) - 1
    for i in range(list_length):
        for j in range(list_length):
            if a_list[j] > a_list[j + 1]:
                a_list[j], a_list[j + 1] = a_list[j + 1], a_list[j]
    return a_list"
Какую роль выполняет внешний цикл в пузырьковой сортировке?;Запускает внутренний цикл заново, пока список не будет отсортирован.
Как можно улучшить эффективность пузырьковой сортировки?;Добавить -i во второй цикл for, чтобы не сравнивать уже отсортированные элементы в конце.
Почему при пузырьковой сортировке после каждой итерации внутреннего цикла можно завершать цикл раньше?;Потому что наибольшее число всплывает в конец списка, и его больше не нужно сравнивать с другими числами. После первой итерации наибольшее число находится в конце, после второй — второе по величине на предпоследнем месте и т.д.
Как сделать пузырьковую сортировку ещё более эффективной с помощью переменной?;Добавить переменную no_swaps (например, True), которая устанавливается в False, если во внутреннем цикле была перестановка. Если после полного прохода внутреннего цикла no_swaps остаётся True, список уже отсортирован, и сортировку можно завершить досрочно.
Какая временная сложность пузырьковой сортировки в худшем случае?;O(n²), так как алгоритм использует два вложенных цикла for.
Что означает 'устойчивая сортировка'?;"Устойчивая сортировка — это сортировка, которая не нарушает последовательность элементов с одинаковыми ключами; они сохраняют свой первоначальный порядок."
Приведите пример устойчивой сортировки строк по первому символу из текста.;Исходный список: [Акита, Медведь, Тигр, Альбатрос]. После устойчивой сортировки по первому символу: [Акита, Альбатрос, Медведь, Тигр] — порядок слов на 'А' сохранён (Акита перед Альбатросом).
Что такое сортировка вставками и как она работает?;Сортировка вставками — алгоритм, при котором список делится на отсортированную левую часть и неотсортированную правую. Каждый элемент из правой части вставляется в правильную позицию в левой части, подобно тому как сортируют игральные карты.
Что такое сортировка вставками?;Алгоритм сортировки, который строит отсортированный список, последовательно вставляя каждый элемент из неотсортированной части в правильную позицию в отсортированной левой части.
Какой код на Python реализует сортировку вставками?;"def insertion_sort(a_list):
    for i in range(1, len(a_list)):
        value = a_list[i]
        while i > 0 and a_list[i - 1] > value:
            a_list[i] = a_list[i - 1]
            i = i - 1
        a_list[i] = value
    return a_list"
С чего начинается цикл for в сортировке вставками?;Цикл for начинается со второго элемента списка (индекс 1).
Что хранится в переменной value в сортировке вставками?;Текущее число (элемент), который нужно вставить в отсортированную левую часть списка.
Какие условия выполняются в цикле while при сортировке вставками?;while i > 0 and a_list[i - 1] > value: т.е. i должно быть больше 0 и предыдущий элемент должен быть больше текущего.
Что делает программа внутри цикла while?;Перемещает большее значение вправо: a_list[i] = a_list[i - 1], затем уменьшает i на 1.
Что происходит после завершения цикла while?;Значение value помещается на правильную позицию: a_list[i] = value.
Как сортировка вставками обрабатывает почти отсортированный список?;Второй цикл (while) запускается только при неправильном порядке, поэтому для почти отсортированного списка требуется мало шагов (линейное время O(n)).
Какая временная сложность сортировки вставками в среднем?;O(n^2) в худшем случае, но O(n) когда данные почти отсортированы.
Почему при i = 0 цикл while не выполняется?;Потому что условие i > 0 не выполняется — нет предшествующего элемента для сравнения.
Какой результат сортировки вставками для списка [6, 5, 8, 2] после первой итерации?;[5, 6, 8, 2] — первые два элемента отсортированы.
Когда программисты используют сортировку вставками в реальных приложениях?;Когда данные почти отсортированы, так как в этом случае она эффективна (линейное время).
Что такое сортировка слиянием?;Это алгоритм рекурсивной сортировки, который постоянно делит список пополам, пока не останутся списки из одного элемента, а затем объединяет их в правильном порядке.
Как работает первая часть сортировки слиянием?;Используется рекурсия, чтобы постоянно разбивать список пополам, пока исходный список не превратится в подсписки, содержащие только одно число.
Почему списки из одного элемента считаются отсортированными?;Списки из одного элемента отсортированы по умолчанию.
Как объединяются два отсортированных подсписка?;Сравниваются первые элементы каждого списка, наименьший помещается в начало нового объединенного списка, затем процесс повторяется с оставшимися элементами.
Приведите пример объединения списков [3, 6] и [2, 9].;"Сравниваются 3 и 2: 2 меньше, объединенный список становится [2]; затем сравниваются 3 и 9: 3 меньше, список [2, 3]; затем 6 и 9: 6 меньше, список [2, 3, 6]; затем добавляется 9, итог [2, 3, 6, 9]."
Что делает функция merge_sort в начале?;Проверяет, больше ли длина списка 1, и если да, находит середину, делит список на левую и правую половины, рекурсивно сортирует их.
Как в коде задается середина списка?;mid = len(a_list) // 2
Какие переменные создаются при первом вызове merge_sort для списка [6, 3, 9, 2]?;a_list = [6, 3, 9, 2], left_half = [6, 3], right_half = [9, 2]
Что происходит при рекурсивном вызове merge_sort(left_half) для списка [6, 3]?;Создаются новые переменные: a_list = [6, 3], left_half = [6], right_half = [3].
Почему рекурсия останавливается, когда left_half равна [6]?;Потому что условие len(a_list) > 1 не выполняется (длина равна 1).
Что такое терминальная ветвь в рекурсии merge_sort?;Когда длина списка равна 1, дальнейшая рекурсия прекращается.
Как рекурсия влияет на исходный список?;Рекурсивные вызовы изменяют тот же список, на который ссылается переменная, что позволяет отсортировать его на месте.
Какой алгоритм иллюстрирует сортировка слиянием?;Сортировка слиянием — пример алгоритма «разделяй и властвуй».
Что делает код 'while left_ind < len(left_half) and right_ind < len(right_half):'?;Сравнивает каждый первый элемент left_half с каждым первым элементом right_half и помещает наименьшее число на правильную позицию в a_list.
Что происходит, когда left_ind или right_ind достигает длины своего списка в цикле слияния?;Дальнейшие циклы while добавляют оставшиеся элементы из другого списка в a_list.
Какие три переменные инициализируются нулём в начале кода слияния?;left_ind, right_ind, alist_ind.
Почему в рекурсивной сортировке слиянием изменение a_list во втором вызове влияет на left_half в первом?;Потому что a_list во втором вызове ссылается на ту же область памяти, что и left_half в первом вызове.
Что происходит после того, как right_half отсортирована в первом вызове функции?;Алгоритм объединяет уже отсортированные left_half и right_half, чтобы получить итоговый отсортированный список.
Какое условие останавливает рекурсивные вызовы в сортировке слиянием?;Условие 'if len(a_list) > 1' — если длина списка не больше 1, рекурсия прекращается.
Какой результат слияния для left_half=[6] и right_half=[3]?;Отсортированный список [3, 6].
Что вычисляет выражение 'left_half[left_ind] <= right_half[right_ind]'?;"Сравнивает текущие элементы двух списков; если True, элемент из left_half помещается в a_list."
Что делает код 'while left_ind < len(left_half):' после основного цикла?;Добавляет оставшиеся элементы из left_half в a_list, если они есть.
Что такое сортировка данных?;Упорядочение данных определенным образом.
Как работает пузырьковая сортировка?;Перебираете список чисел, сравнивая каждое число с последующим, и переставляете их, если они идут не по порядку.
Что означает 'устойчивая сортировка'?;Это сортировка, которая сохраняет относительный порядок равных элементов.
Какая временная сложность сортировки слиянием?;О(n * log n).
Почему сортировка слиянием имеет сложность O(n * log n)?;Разделение списка на подсписки логарифмическое, но требуется линейное время для обработки каждого элемента при слиянии.
Какой алгоритм использует Python во встроенных функциях сортировки?;Timsort — гибридный алгоритм, объединяющий сортировку слиянием и вставками.
Какие две встроенные функции сортировки есть в Python?;sorted и sort.
Чем отличается функция sorted от sort?;sorted работает с любым итерируемым объектом и возвращает новый отсортированный список. sort работает только со списками и сортирует на месте, изменяя исходный список.
Какой параметр функции sorted позволяет отсортировать список в убывающем порядке?;reverse=True.
Как с помощью параметра key в sorted отсортировать строки по длине?;Передать key=len, например: sorted(a_list, key=len).
Какой алгоритм лежит в основе Timsort?;Гибрид сортировки слиянием и сортировки вставками.
Приведите пример использования sort для сортировки списка чисел.;"a_list = [1, 8, 10, 33, 4, 103]; a_list.sort(); print(a_list) выведет [1, 4, 8, 10, 33, 103]."
Как в Python отсортировать список строк в алфавитном порядке с помощью sorted?;sorted(a_list) вернет новый список, отсортированный по первой букве.
Что такое 'линейно-логарифмическая' временная сложность?;Это O(n * log n), как у сортировки слиянием.
Какая сортировка не нарушает никакой последовательности, кроме той, которая указана ключом сортировки?;Стабильная сортировка
Какой алгоритм сортировки напоминает сортировку колоды карт?;Сортировка вставками
Какой алгоритм сортировки рекурсивно делит список пополам до одного элемента, а затем соединяет в правильном порядке?;Сортировка слиянием
Какой алгоритм разбивает задачу на подзадачи, пока они не станут простыми для решения?;Алгоритм «разделяй и властвуй»
Какой алгоритм комбинирует несколько алгоритмов для решения одной задачи, выбирая один или переключаясь между ними?;Гибридная сортировка
Как определить, являются ли две строки анаграммами?;"Отсортировать строки после удаления пробелов и приведения к нижнему регистру; если отсортированные версии совпадают, это анаграммы."
Какое время выполнения у алгоритма выявления анаграмм с помощью sorted() в Python?;O(n log n)
Как проверить, является ли строка палиндромом на Python?;Сравнить строку с её реверсированной версией, приведя к нижнему регистру (s1.lower() == s1[::-1].lower()).
Какое время выполнения у базового алгоритма проверки палиндрома?;O(n)
Как найти самую правую цифру в строке с помощью списочного включения в Python?;Использовать списковое включение для отбора цифр, затем взять последний элемент.
