Каково русское название книги, из которой взят этот текст?;Python. Карманный справочник
Что делает параметр -i в Python?;Входит в диалоговый режим после выполнения сценария (удобно для отладки).
Что делает параметр -O в Python?;Оптимизирует генерируемый байт-код, создавая и используя файлы .pyc.
Что делает параметр -OO в Python?;Действует как -O, но также удаляет строки документации из байт-кода.
Что делает параметр -q в Python?;Не выводит сообщение о версии и авторском праве при запуске программы.
С какой версии Python доступен диалоговый режим?;Начиная с версии Python 3.2.
Что делает параметр командной строки Python '-в'?;Не указывать местный каталог пользователя в пути поиска модулей в переменной sys.path.
Что делает параметр командной строки Python '-5'?;Не подразумевать импорт модулей из местного каталога пользователя при инициализации.
"Что делает параметр командной строки Python '""ч""' (вероятно, имеется в виду '-u')?";Сделать принудительно небуферизованными и двоичными стандартные потоки вывода данных (stdout) и ошибок (stderr).
Что делает параметр командной строки Python '-V'?;Выводить сообщение всякий раз, когда инициализируется модуль, показывая место, из которого он загружен. Для более подробного вывода этот параметр можно повторить.
Что делает параметр командной строки Python '-v' (строчная)?;Вывести номер версии Python и выйти из программы (этот параметр может быть также указан в виде —version).
Для чего используется параметр командной строки Python '-W arg'?;Этот параметр управляет выдачей предупреждений, где аргумент arg принимает вид действие:сообщение:категория:модуль:номер строки.
Что делает параметр командной строки Python '-х'?;Пропустить первую строку исходного кода, разрешая использовать формы директив #!cmd, отличающиеся от принятых в Unix.
Что делает параметр командной строки Python '-Х параметр'?;Установить параметр в зависимости от реализации, начиная с версии Python 3.2. Поддерживаемые значения приведены в документации на конкретную реализацию.
Как указать исполняемый код Python в командной строке?;"С помощью параметра '-c' и команды в виде символьной строки (например, python -c ""print('spam'*8)"")."
Как выполнить модуль как сценарий из командной строки?;С помощью параметра '-m' и имени модуля (например, python -m pdb s.py). Поиск модуля осуществляется по пути в переменной sys.path.
Что обозначает параметр '-' в командной строке Python?;Вводит команды Python из стандартного потока ввода (stdin). Входит в диалоговый режим работы, если команды вводятся из tty (интерактивного устройства).
Что означает 'arg*' в командной строке Python?;Обозначает, что все остальное в командной строке передается файлу сценария или команде и доступно в элементе sys.argv[1:] списка аргументов.
Что происходит, если ни один из параметров файл_сценария, команда или модуль не указан в командной строке?;Интерпретатор Python переходит в диалоговый режим работы, вводя команды из стандартного потока ввода stdin и задавая значение '' (пустую строку) в элементе sys.argv[0] списка аргументов.
Какие дополнительные параметры командной строки поддерживаются в версии Python 2.X, но не в 3.X?;Параметры '-t', '-tt', которые выдают предупреждения или ошибки о несогласованном совместном употреблении символов табуляции и пробелов при отступах.
Какие параметры разделения существуют в Python?;Параметры разделения: -Qold (по умолчанию), -Qwarn, -Qwarnall и -Qnew.
Что делает параметр -Qwarnall?;Выдает предупреждения о любых признаках несовместимости с версией Python 3.X в исходном коде, которую не в состоянии заведомо устранить инструментальное средство 2to3 из стандартной установки Python.
Что такое PYTHONHASHSEED?;Переменная окружения, которая активизирует псевдослучайную затравку для хеш-значений, чтобы предотвратить атаки типа отказа в обслуживании. Появилась в Python 2.6.8, осталась ради совместимости в 3.X, начиная с 3.2.3. С версии 3.3 рандомизация активизируется по умолчанию.
Что делает переменная окружения PYTHONPATH?;Расширяет исходный путь поиска импортируемых файлов модулей. Значение аналогично переменной PATH: имена путей разделяются двоеточиями (или точками с запятой в Windows). Поиск осуществляется в каждом каталоге слева направо. Значение включается в sys.path после каталога со сценарием и перед стандартными библиотеками.
Для чего используется переменная PYTHONSTARTUP?;Если задано имя читаемого файла, команды Python из этого файла выполняются до первого приглашения в диалоговом режиме. Удобно для определения часто используемых инструментальных средств.
Что делает PYTHONHOME?;Если установлена, ее значение используется в качестве каталога библиотечных модулей с чередующимся префиксом (или sys.prefix, sys.exec_prefix). По умолчанию поиск модулей осуществляется по пути sys.prefix/lib.
Что такое PYTHONCASEOK?;Если установлена, в операторах импорта регистр в именах файлов не учитывается (поддерживается только в Windows и Mac OS X).
Для чего нужна переменная PYTHONIOENCODING?;Задает кодировку и обработчик ошибок для стандартных потоков stdin, stdout и stderr. Формат: 'наименование_кодировки:обработчик_ошибок'. Полезна для обработки текста не в ASCII, например, можно задать 'utf8'.
Что делает PYTHONHASHSEED (с числовым значением)?;Если задано целое значение от 0 до 4294967295, используется для предсказуемого хеширования объектов типа str, bytes и datetime. Поддерживается в Python 2.6.8 и 3.2.3.
Что такое PYTHONFAULTHANDLER?;Если установлена, регистрируются обработчики для вывода содержимого оперативной памяти и отслеживания причин фатальных ошибок. Начиная с Python 3.3, равнозначно параметру -X обработчик_отказов в командной строке.
Чему соответствует PYTHONDEBUG?;Если не пустая, действует аналогично параметру -d.
Чему соответствует PYTHONDONTWRITEBYTECODE?;Если не пустая, действует аналогично параметру -B.
Чему соответствует PYTHONINSPECT?;Если не пустая, действует аналогично параметру -i.
Чему соответствует PYTHONNOUSERSITE?;Если не пустая, действует аналогично параметру -s.
Чему соответствует PYTHONOPTIMIZE?;Если не пустая, действует аналогично параметру -O.
Чему соответствует PYTHONUNBUFFERED?;Если не пустая, действует аналогично параметру -u.
Чему соответствует PYTHONVERBOSE?;Если не пустая, действует аналогично параметру -v.
Чему соответствует PYTHONWARNINGS?;Если не пустая, действует аналогично параметру -W.
Что такое PY_PYTHON в контексте средства запуска Python?;Переменная окружения, используемая для настройки версии Python по умолчанию в средстве запуска (иначе версия 2).
Какие файлы входят в состав средства запуска сценариев Python начиная с версии 3.3 в Windows?;Исполняемые файлы py.exe (консольный вариант) и pyw.exe (бесконсольный вариант).
Какую роль выполняет директива #! в сценариях Python?;Указывает версию Python для запуска сценария через средство запуска (например, #!/usr/bin/env python3).
Какие формы может принимать аргумент pyarg в команде py?;Формы: -2 (запуск последней версии 2.X), -3 (запуск последней версии 3.X), -X (указанная версия 2 или 3), -X.Y-32 (указанная 32-разрядная версия).
Что происходит, если одновременно указаны аргумент командной строки и директива #! в сценарии?;Предпочтение отдается аргументам командной строки над значениями в строках с директивой #!.
Какие переменные окружения распознаются средством запуска Python?;PY_PYTHON (версия для стандартных случаев), PY_PYTHON3 (версия для 3 частных случаев), PY_PYTHON2 (версия для 2 частных случаев).
Каков порядок предшествования операторов в Python (от более высокого к низкому)?;Например: yield X, lambda arg: X, X if Y else Z, or, and, not, in/not in, is/is not, сравнения, побитовое ИЛИ, исключающее ИЛИ, И, сдвиги, сложение/вычитание, умножение/деление/остаток, унарные +/-, побитовое НЕ, возведение в степень.
Что такое оператор yield X в Python?;Оператор, который возвращает результат выполнения функции-генератора (значение функции send()).
Как работает тернарный оператор X if Y else Z?;Значение X вычисляется только в том случае, если Y истинно, иначе вычисляется Z.
Что такое оператор X or Y?;Логическая операция ИЛИ: значение Y вычисляется лишь в том случае, если X ложно.
Какие операторы используются для сравнения величин, подмножеств и надмножеств?;Операторы равенства.
Что делает оператор поразрядное ИЛИ (|) для множеств?;Объединение множеств.
Что делает оператор поразрядное исключающее ИЛИ (^) для множеств?;Разноименность (симметрическая разность) множеств.
Что делает оператор поразрядное И (&) для множеств?;Пересечение множеств.
Что делают операторы сдвига << и >>?;Сдвиг значения X влево или вправо на количество битов, равное Y.
Какие операции выполняют операторы + и -?;Сложение/сцепление и вычитание/разность множеств.
Что делают операторы *, %, /, //?;Умножение/повторение, получение остатка от деления/форматирование, деление, целочисленное деление.
Что такое унарное отрицание и оператор идентичности?;Унарное отрицание (-X) и проверка идентичности (is).
Что делает оператор ~X?;Логическая операция поразрядное НЕ в дополнительном коде (инверсия).
Что делает оператор **?;Возведение в степень.
Что делает оператор X[Y]?;Индексирование (последовательностей, отображений и прочего).
Что делает оператор X[I:J:K]?;Нарезка (срез).
Что делает оператор X(args2)?;Вызов (функции, метода, класса и другого вызываемого объекта).
Что делает оператор X.attr?;Ссылка на атрибут.
Что означают круглые скобки ( ) в Python?;Кортеж, выражение, выражение-генератор.
Что означают квадратные скобки [ ] в Python?;Список, генератор списков.
Что означают фигурные скобки { } в Python?;Словарь, множество, генератор словарей и множеств.
Какова модель типизации в Python?;Динамическая типизация: переменные не объявляются, создаются при присваивании, хранят ссылки на объекты, могут ссылаться на любой тип, должны быть присвоены до использования.
Как работает сборка мусора в CPython?;"Объекты автоматически освобождаются, когда на них нет ссылок; используется подсчет ссылок."
Как записывается неравенство в Python 2.X и 3.X?;"X != Y (обе версии); X <> Y только в Python 2.X."
Как преобразовать объект в строку с repr()?;Выражение `X` в Python 2.X, аналогично repr(X).
Каков результат целочисленного деления // для целых чисел?;Всегда отбрасывает дробные остатки и возвращает целочисленный результат.
Как работает деление / в Python 2.X и 3.X?;В 3.X — всегда сохраняет остаток с плавающей точкой. В 2.X — классическое деление с отбрасыванием остатка, если не активировано from __future__ import division.
Что такое синтаксис [...]?;Списочные литералы и выражения-генераторы (в последнем случае — подразумеваемый цикл, результат накапливается в новом списке).
Что такое синтаксис (...)?;Кортежи, выражения и выражения-генераторы (выдают результаты по требованию).
Что такое синтаксис {...}?;Словарные литералы, а в Python 2.7+ и 3.X — также литералы множеств, генераторы словарей и множеств.
Когда доступен оператор yield и условные операторы if/else?;Начиная с версии Python 2.5.
Когда оператор yield требует круглых скобок?;Если он не является единственным в правой части оператора присваивания.
Как работают цепочки сравнений в Python (например, X < Y < Z)?;Цепочки сравнений дают такой же результат, как и выражения X < Y и Y < Z, но значение Y вычисляется только один раз.
Чему равнозначно выражение нарезки X[i:j:k]?;Выражение X[i:j:k] равнозначно индексации с помощью объекта нарезки: X[slice(i, j, k)].
Как обрабатывается сравнение разнотипных величин в Python 2.X и 3.X?;В Python 2.X допускается сравнение разнотипных величин с приведением числовых значений к общему типу. В Python 3.X сравнение разнотипных нечисловых величин не допускается и вызывает исключения.
Поддерживается ли сравнение величин в словарях в Python 3.X?;В Python 3.X сравнение величин в словарях не поддерживается, кроме проверки на равенство. Альтернатива — вызов функции sorted(adict.items()).
Какие виды аргументов можно указывать при вызове функций в Python?;Можно указывать позиционные и именованные аргументы, а также произвольные крупные числа в качестве аргументов.
Что обозначает многоточие (...) в Python 3.X?;Многоточие (или встроенное имя Ellipsis) обозначает атомарные выражения в исходном коде и может служить альтернативой оператору pass или None в некоторых контекстах.
Что нового в синтаксисе выражений *X и **X, начиная с Python 3.5?;Начиная с Python 3.5, синтаксис *X и **X может быть обобщен для распаковки коллекций в отдельные элементы в литералах структур данных и генераторах, как это делается при вызове функций.
Какие операции сравнения поддерживаются встроенными типами данных Python?;Поддерживаются операции: <, <=, >, >=, ==, !=, is, is not, а также цепочки сравнений (например, X < Y < Z).
В чем разница между операторами is и == в Python?;Оператор is проверяет идентичность объектов (один и тот же объект), а оператор == сравнивает значения. == обычно более полезен.
Какие объекты в Python считаются истинными, а какие ложными?;Истинным считается любое ненулевое число или любой непустой объект коллекции. Ложными являются 0, пустые коллекции, None и False. True и False равнозначны 1 и 0 соответственно.
Что возвращают операции сравнения в Python?;Операции сравнения возвращают логическое значение True или False.
Как работают логические операторы and и or?;Они выполняются укороченно: прекращают вычисления, как только результат становится известен. Возвращают объект одного из операндов (левого или правого), логическое значение которого дает результат.
Какие операции относятся к операциям над последовательностями (символьными строками, списками, кортежами, байтами и массивами байтов)?;Проверка на членство (in), сцепление (+), повторение (*), индексирование по смещению (S[i]), нарезка (S[i:j:k]), длина (len()), минимальный и максимальный элементы (min(), max()), протокол итерации (iter()), итерация (for x in S), списковое включение ([expr for x in S]), map(func, S) и т.д.
Какие методы классов используются для операций над последовательностями?;__contains__ для проверки на членство, __getitem__ для индексирования и нарезки, __add__ для сцепления, __mul__ для повторения, __len__ для длины, __iter__ для итерации.
Какие операции над изменяемыми последовательностями (списками, массивами байтов) описаны в таблице 4?;Присваивание по индексу (S[i] = X), присваивание по нарезке (S[i:j] = T и S[i:j:k] = T), удаление по индексу (del S[i]), удаление по нарезке (del S[i:j] и del S[i:j:k]).
Какие методы классов используются для операций над изменяемыми последовательностями?;__setitem__ для присваивания по индексу и нарезке, __delitem__ для удаления по индексу и нарезке.
Какие операции над отображениями (словарями) описаны в таблице 5?;Индексирование по ключу (D[k]), присваивание ключа (D[k] = X), удаление по ключу (del D[k]), длина (len(D)), проверка ключа на членство (k in D), противоположная проверка (k not in D), объект итератора для ключей (iter(D)), итерация ключей (for k in D).
Какие методы классов используются для операций над отображениями (словарями)?;__getitem__ для индексирования по ключу, __setitem__ для присваивания ключа, __delitem__ для удаления по ключу, __len__ для длины. Для проверки на членство и итерации используются те же методы, что и в таблице 3 (__contains__, __iter__, __getitem__).
Какие числовые операции описаны в таблице 6?;Сложение, вычитание, умножение, деление, целочисленное деление, деление с остатком, отрицание, идентичность, поразрядные ИЛИ, И, исключающее ИЛИ, поразрядный сдвиг влево и вправо, поразрядное инвертирование, возведение в степень, получение абсолютного значения, преобразование в целое, преобразование в число с плавающей точкой, получение комплексного числа, кортеж (X // Y, X % Y), возведение в степень.
Какие методы классов используются для числовых операций?;__add__, __sub__, __mul__, __truediv__, __floordiv__, __mod__, __neg__, __pos__, __or__, __xor__, __and__, __lshift__, __rshift__, __invert__, __pow__, __divmod__.
Что произошло с методами __getslice__, __setslice__ и __delslice__ в версии Python 3.X?;В версии 3.X эти методы исключены в пользу передачи объектов нарезки их аналогам с поэлементной индексацией (__getitem__, __setitem__, __delitem__).
Как выполняется индексирование в последовательностях?;Элементы извлекаются по индексу: первый элемент — S[0], второй — S[1], последний — S[-1], предпоследний — S[-2] (равнозначно S[len(S)-2]). Отрицательные индексы отсчитываются от конца последовательности.
Как выполняется нарезка последовательностей?;Нарезка S[i:j] извлекает элементы от i-го до (j-1)-го. По умолчанию i=0, j=len(S). Например, S[1:3] извлекает элементы с 1-го по 2-й.
Какие изменения в методах для проверки членства ключей в словаре произошли между Python 2.X и 3.X?;В Python 2.X можно было использовать метод D.has_key(k) для проверки членства ключей. В Python 3.X этот метод исключен в пользу выражения 'k in D', которому отдается предпочтение.
Как оператор деления (/) обрабатывается в Python 2.X и 3.X?;В Python 3.X оператор / вызывает метод __truediv__, а в Python 2.X — метод __div__, если настоящее деление не активизировано.
Что произошло с типом long в Python 3.X?;В Python 3.X тип int относится к категории типа long, который был исключен. В Python 2.X из встроенной функции long() вызывается метод __long__ из класса.
Что означает операция S[1:]?;Извлечение части последовательности от 1-го элемента и до самого её конца, что равнозначно операции len(S)-1.
Что означает операция S[:-1]?;Извлечение части последовательности от нулевого элемента и до конца последовательности, но не включая последний её элемент.
Что означает операция S[:]?;Создание неполной (верхнего уровня) копии объекта последовательности S.
Что обозначает третий элемент K в расширенной нарезке S[i:j:k]?;Третий элемент K обозначает шаг, который по умолчанию равен 1 и добавляется к смещению каждого элемента, извлекаемого из последовательности.
Что означает операция S[::2]?;Извлечение элементов из всей последовательности S через одного.
Что означает операция S[::-1]?;Обращение последовательности S.
Что означает операция S[4:1:-1]?;Извлечение части последовательности в обратном порядке от 4-го до 1-го элемента, но не включая последний.
Что такое присваивание по нарезке (S[i:j:k] = l)?;Присваивание по нарезке аналогично удалению и последующей вставке новых элементов на месте удаленных.
Каковы требования к размеру итерируемых объектов при присваивании стандартным нарезкам S[1:7]?;Итерируемые объекты, присваиваемые стандартным нарезкам S[1:7], не должны совпадать по размеру.
Каковы требования к размеру итерируемых объектов при присваивании расширенным нарезкам S[i:j:k]?;Итерируемые объекты, присваиваемые расширенным нарезкам S[i:j:k], должны совпадать по размеру.
Каков результат сцепления, повторения и нарезки для кортежей?;В результате сцепления, повторения и нарезки возвращаются новые объекты, хотя и не всегда кортежи.
Какие типы данных рассматриваются в разделе 'конкретные встроенные типы'?;Числа, символьные строки, списки, словари, кортежи, файлы, множества и прочие базовые встроенные типы данных.
Могут ли составные типы данных (списки, словари, кортежи) быть произвольно вложены друг в друга?;Да, они могут быть произвольно вложены друг в друга и настолько глубоко, насколько это требуется.
Могут ли множества содержать изменяемые объекты?;Нет, множества могут содержать только неизменяемые объекты.
Являются ли числа изменяемыми значениями?;Нет, числа являются неизменяемыми значениями, поддерживающими числовые операции.
Какие основные числовые типы данных рассматриваются?;Целочисленные и с плавающей точкой, а также более развитые типы данных (комплексные, десятичные и дробные числа).
Как записываются целые числа (неограниченной точности)?;1234, -24, +42, 0
Как записываются числа с плавающей точкой?;1.23, 3.14e-10, 4E210, 4.0e+210, 1., .1
Как записываются восьмеричные, шестнадцатеричные или двоичные литералы для целых чисел?;0o177, 0x9EFF, 0b1111
Как записываются комплексные числа?;3+4j, 3.0+4.0j, 3J
Как создаются десятичные и дробные числа?;decimal.Decimal('1.33'), fractions.Fraction(4, 3)
Как создаются числа из других объектов или из символьных строк?;int(9), int(-9), int('1111', 2), int('0b1111', 0), float(9), float('1e2'), float('-.1'), complex(3, 4.0)
Какие функции создают символьные строки из цифр для целых чисел?;hex(N), oct(N) и bin(N)
Как Python обрабатывает выражения с разными числовыми типами?;Python преобразует операнды в наивысший по иерархии тип данных, где целочисленные объекты находятся ниже объектов с плавающей точкой, а те — еще ниже комплексных объектов.
Какие атрибуты есть у чисел с плавающей точкой?;Например, as_integer_ratio() и is_integer().
Какие атрибуты есть у целых чисел?;Например, numerator и denominator.
Какие два дополнительных числовых типа предоставляются в стандартных библиотечных модулях Python?;Десятичный (Decimal) для чисел с плавающей точкой с фиксированной точностью и дробный рациональный тип (Fraction) для хранения числителя и знаменателя.
Какой результат даёт выражение 0.1 - 0.3 в Python?;-0.19999999999999998 (из-за неточностей арифметики с плавающей точкой).
Как получить точный результат вычитания 0.1 - 0.3 с помощью Decimal?;"from decimal import Decimal; Decimal('0.1') - Decimal('0.3') возвращает Decimal('-0.2')."
Как получить точный результат вычитания 1/10 - 3/10 с помощью Fraction?;"from fractions import Fraction; Fraction(1, 10) - Fraction(3, 10) возвращает Fraction(-1, 5)."
Каков результат сложения Fraction(1, 3) + Fraction(7, 6)?;Fraction(3, 2).
Для каких приложений особенно удобны десятичные числа (Decimal)?;Для финансовых приложений, так как они фиксируют точность и поддерживают протоколы усечения и округления.
Какой сторонний пакет предоставляет оптимизированные векторы и матрицы?;NumPy (доступен по адресу http://www.numpy.org).
Что представляет собой строковый тип str в Python 3.X?;Неизменяемую последовательность символов для представления текста в ASCII и расширенном юникоде (Unicode).
Какие три строковых типа существуют в Python 3.X?;str (текст), bytes (неизменяемая последовательность байтов), bytearray (изменяемая последовательность байтов).
Какие два строковых типа были в Python 2.X?;str (байт-ориентированный текст и двоичные данные) и unicode (текст в юникоде).
Какой тип появился в Python 2.6 для совместимости с Python 3.X?;bytearray.
Как записываются строковые литералы в Python?;В виде последовательности символов в кавычках (одинарных, двойных или тройных).
Что такое неформатированные (raw) строки и для чего они удобны?;Строки, в которых обратная косая черта интерпретируется буквально (кроме тех, что в конце). Удобны для регулярных выражений и путей.
Что такое r'c:\dirl\file' в Python?;Это сырая строка (raw string), в которой обратная косая черта не интерпретируется как управляющий символ, используется для путей в Windows и DOS.
Для чего используются функции hex(), oct(), bin()?;Для преобразования целых чисел в строки: шестнадцатеричное (hex), восьмеричное (oct) и двоичное (bin) представление.
Что такое строковый литерал типа bytes в Python 3.X?;Это последовательность 8-разрядных байтовых значений, представляющих неформатированные двоичные данные.
Что такое bytearray() в Python?;Это изменяемый вариант типа bytes, доступный в Python 2.6+ и 3.X.
Что означает литерал u'...' в Python 2.X?;Это строковый литерал в уникоде, представляющий последовательность кодовых точек в уникоде.
Какие функции создают символьные строки из объектов с возможным кодированием?;str(), bytes(), bytearray(), а в Python 2.X также unicode().
Что означает управляющая последовательность \\ в строковом литерале?;Обратная косая черта (\)
Что делает управляющая последовательность \n?;Перевод строки.
Что делает управляющая последовательность \t?;Горизонтальная табуляция.
Что делает управляющая последовательность \r?;Возврат каретки.
Какие операции поддерживаются в строковых типах?;Все операции над последовательностями (см. табл. 3), специальные методы обработки строк, выражение % для форматирования и метод format().
Какие два способа форматирования строк существуют в Python 2.6+/3.0+?;1) Оператор %: fmt % (значения). 2) Метод format(): fmt.format(значения).
Какой результат даёт 'а %s, %.2s' % (42, 'spam', 1/3.0)?;'42, spam, 0.33'
Какой результат даёт '{0}, {1}, {2:.2f}'.format(42, 'spam', 1/3.0)?;'42, spam, 0.33'
Какие два способа вызова метода в Python упоминаются в тексте, и как они соотносятся по сложности и функциональности?;Косвенный вызов (через представление о способе) и исходное выражение. Они мало отличаются по функциональности и сложности, и нет причин предпочесть один другому.
Как работает выражение для форматирования символьных строк с оператором % в Python?;Адресаты в левой части оператора % заменяются значениями в правой части. Для нескольких значений используется кортеж, для одного — одиночное значение или кортеж. Для ключей — словарь. Ширина и точность могут передаваться динамически через *.
Какой синтаксис имеет заменяемый адресат в форматирующем выражении с оператором %?;% [ (имя_ключа) ] [признаки] [ширина] [. точность] код_типа. Имя ключа для словаря, признаки (например, -, +, пробел, 0), ширина, точность, код типа.
Какие значения могут принимать признаки в форматирующем выражении с оператором %?;- (выравнивание по левому краю), + (числовой знак), пробел (перед положительными числами пробел, перед отрицательными -), 0 (заполнение нулями).
Как обозначаются ширина и точность в форматирующем выражении, если их нужно выбрать автоматически из значений?;С помощью знака *.
Что означает код типа %s в форматирующем выражении?;Символьная строка (или любой объект, использующий функцию str()).
Чем отличаются коды %s и %r в форматирующем выражении?;%s использует функцию str(), а %r использует repr(), а не str().
Что обозначает код типа %d в форматирующем выражении?;Десятичное целочисленное значение по основанию 10.
Что обозначает код типа %x в форматирующем выражении?;Шестнадцатеричное целочисленное значение по основанию 16.
Как в форматирующем выражении вывести литерал '%'?;Как %%.
Как работает метод format() для форматирования символьных строк?;Вызывается на объекте строки, заменяемые адресаты обозначаются { } вместо %. Аргументы могут именоваться по расположению или ключевому слову, можно ссылаться на атрибуты, ключи и смещения.
Как в методе format() указать форматирование с точностью для аргумента по индексу?;Например, {2:.0f} — аргумент с индексом 2, с плавающей точкой, 0 знаков после запятой.
Какой результат выведет код: >>> '{0.platform} {1[x]} {2[0]}'.format(sys, dict(x='ham'), 'AB')?;'win32 ham A'
Какой результат выведет код: >>> '{0:,d}'.format(1000000)?;'1,000,000'
Какой результат выведет код: >>> '{0:13,.2f}'.format(1000000)?;' 1,000,000.00'
Какой результат выведет код: >>> '{0:%} {1:,.2%}'.format(1.23, 1234)?;'123.000000% 123,400.00%'
Какой результат выведет код: >>> '{0}/{1}/{2}'.format('usr', 'home', 'bob')?;'usr/home/bob'
Какой результат выведет код: >>> '{}/{}/{}'.format('usr', 'home', 'bob') в Python 3.1+?;'usr/home/bob'
